Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,Não,falta de comunicação com as empresas desejadas,treino meus conhecimentos e minha oratória para evidenciar minhas qualidades ao máximo,Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,infojobs,menos de 5,Busquei ativamente um a vaga,bolsa de desenvolvimento institucional,Tranquilo,Sim,Sim,"entre 3000,00 e 4000",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00",Linkedin,Sim,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Dificuldade em ser convidada para entrevistas,Estudando os tópicos da área em que serei entrevistada,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,,,,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",Conseguir ir para as entrevistas,Leio sobre a empresa e tento criar um storytelling sobre mim,Não,,,,,,,,,,sim
QA - Qualidade de Software,Sim,,,,,,,,,,,"Faculdade, Autodidata",Linkedin,entre 10 e 30,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Agilidade,Sim,,,,,,,,,,,"Faculdade, Bootcamp, Cursos livres avulsos (estilo Udemy)","Linkedin, Networking / Amigos",entre 10 e 30,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Sim,"entre 3000,00 e 4000",sim
UX ( e suas variações),Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Vagas que cabem para um junior,Estudar a descrição e a empresa para o qual vou ser entrevistado,Não,,,,,,,,,,sim
DevOps,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Não tenho experiência na área e por isso não consigo oportunidades.,"Treino sozinho, pergutando e respondendo pra mim mesmo.",Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy), Curso Tecnico","Linkedin, Networking / Amigos",menos de 5,Busquei ativamente um a vaga,Autonomo / Freelancer,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
QA - Qualidade de Software,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback","Percebo que ultimamente as vagas de nível Júnior ou abaixo são em maioria híbridas ou presenciais para estados do eixo, como São Paulo e Rio de Janeiro, o que dificulta bastante para mim que resido em Fortaleza no Ceará.",Eu reviso todos os meus conhecimentos e a minha trajetória de construção profissional até o momento. Mantenho tudo anotado e estudo antes para me certificar de não esquecer de nada durante as entrevistas.,Não,,,,,,,,,,sim
Tech Recruiter,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",Achar vagas que aceitem menos de 2 anos de experiência ,"Estudo sobre a empresa, a vaga e sobre o entrevistador",Não,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 10 e 30,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Tech Recruiter,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
UX ( e suas variações),Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Acesso a salário e networking,Escrevo um texto sobre mim pra lembrar do que falar na entrevista. ,Sim,,,,,,,,,,sim
Agilidade,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback",Mercado competitivo,Entrevista inicial não é problema. Mas não estou passado pela Técnica. ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking",,"Sim, com feedback automatico",ser notado ,pesquise sobre a empresa,Não,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Conseguir passar da seleção de currículo e conseguir uma entrevista.,Preparo um pitch com as experiências que mais tem conexão com a área de produtos e pesuiso sobre a empresa. Também faço mentorias com pessoas da área de produtos para poder entender como me comportar em entrevistas e para melhorar o linkedin e currículo.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,Não,,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Ser selecionado para uma entrevista.,Estudando ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Bootcamp,Linkedin,entre 5 e 10,Busquei ativamente um a vaga,Estagio,"Cansativo, confuso e uma montanha russa de altos e baixos.",Sim,Sim,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)",CLT,"a partir de 3000,00",Linkedin,Sim,Não,Falta de vagas disponíveis e alta concorrência,Vejo vídeos de como me portar em entrevistas de emprego,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Oportunidade para entrar na área, visto que as vagas de Júnior estão cada vez mais exigentes.",Pesquiso sobre a empresa e sobre as tecnologias que a empresa utiliza e que tenho conhecimento ,Sim,,,,,,,,,,sim
UX ( e suas variações),Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 5 e 10,Busquei ativamente um a vaga,PJ,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,As vagas geralmente pedem trocentas tecnologias,"Estou estudando bastante e tentando aplicar tudo na prática, no intuito de melhorar meu conhecimento técnico. Além disso, estou tentando desenvolver habilidades interpessoais, no que diz respeito à comunicação para então tentar estar preparado quando a primeira entrevista chegar (nunca fiz uma kkk)",Não,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,O tempo que fiquei longe do mercsdo de trabalho.,Leio bastante sobre a empresa e como participar de entrevistas.,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Excesso de vagas sem feedbacks.,Utilizo o chat GPT,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Conseguir encontrar as vagas certas e passar nas entrevistas.,"Estudo sobre a proposta da empresa, faço uma auto-análise, revejo minhas soft/hard skils assim como defeitos. ",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Bootcamp, Cursos livres avulsos (estilo Udemy)",Linkedin,entre 5 e 10,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Sim,"Abaixo dos 1000,00",sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Atualmente estou desanimado,"Vejo o site da empresa, qual o segmento, valores ",Não,,,,,,,,,,sim
Tech Recruiter,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)","CLT, PJ","Entre 1.600 a 2.000,00 +","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback",No momento não consigo pensar em nenhuma em específico!,"Estudo a empresa, organização, valores e como organizam a carreira dos profissionais que já trabalham lá através de oportunidades, investimentos que a empresa possivelmente recebeu…",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","a partir de 3000,00",Linkedin,Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,experiência,Ainda não fiz entrevistas,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)",CLT,6000,"Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback",Idade e experiencias na area,Estudando com foco no que recebo de feedback,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,Faculdade,Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,Oportunidade para iniciante ,"Dicas no LinkedIn, organização de projetos e pesquisa sobre a empresa e função em questão ",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Ainda não estar capacitado,Pesquisa sobre a stack e sobre a empresa,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico","As empresas estão deixando tudo para a Inteligência Artificial, isso é um contratempo por que as vezes por falta de uma ""palavra chave"" o algoritmo acredita que você não tem fit com a vaga, quando na verdade, a vaga combina perfeitamente com o candidato.","Estudo meus projetos, estudo a empresa e busco fazer um link entre quem sou e os valores da empresa.",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Sim,,,,,,,,,,,Faculdade,Linkedin,mais de 90 entrevistas,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Muitas vagas cobram tecnologias que a empresa não utiliza.,"Estudo sobre tecnologias da empresa, estudo sobre a empresa,  e tento me preparar para possiveis perguntas.",Não,,,,,,,,,,sim
QA - Qualidade de Software,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Achar vagas pra junior ou trainee remotas , aqui no rj tem poucas vagas ",Treino olhando pro espelho ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,Não,Minha maior dificuldade é chegar na entrevista.,Eu reviso alguns conceitos de lógica e me concentro ao máximo.,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,Não,"Ultimamente a sensação de não receber resposta ou de receber não, tem me afetado um pouco, pelo menos por enquanto estou mandando currículo com menos frequência.","Leio sobre a empresa no site dela, olho as avaliações na Glassdoor, tento contato com alguém que trabalha na empresa para conversar um pouco e traço minha fala explorando o que tem mais a ver com a empresa.",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking",Não,Não,Ser levado a sério,Não me preparo,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Dev Flutter - Pleno ,,"CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Nunca passar para a entrevista tecnica, so fica no RH","Procuro ver necessidades da Vaga, se a empresa e divulgada me informo.",Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Estagio, Junior (Associado, Assistente)",CLT,"Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",,,Sim,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Meu portfólio ainda não está pronto,"Estudar a vaga, a empresa e antecipar possíveis perguntas do recrutador ",Sim,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","O mercado de trabalho é cruel com os juniores, sendo assim, minha maior dificuldade é ter encontrado um mercado que dá poucas oportunidades para pessoas que não tem experiência na área. ",Procuro dicas de profissionais de RH,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Bootcamp,Networking / Amigos,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Requisitos fora da realidade de um estagiário ou Junior ,No máximo pesquiso pra revisar as perguntas técnicas de Front-End ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,Não,Não chego nem na parte de uma entrevista,Procuro o site da empresa para pesquisar sobre ela.,Sim,,,,,,,,,,sim
Desenvolvimento Mobile,Sim,,,,,,,,,,,Faculdade,Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Não,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,"Sou do interior, as empresas aqui utilizam outras tecnologias e não aceitam meu argumento de estar disposto aprender as tecnologias que eles utilizam, no meu caso sempre utilizei Java, mas a região aqui é C# e PHP, estou buscando estudar isso",Estudo a empresa quando possível processos seletivos anteriores,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Sim,Não,Conseguir passar a parte de inscrição da vaga para a entrevista.,Estudo um pouco sobre a empresa e quais os serviços que era presta.,Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Achar vagas,Anotações de tudo que e importante saber para o cargo,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico","Não sei dificuldade, mas acho que na área estão exigindo muito tanto pra estágio e Júnior. E com isso não consigo ser chamado pra nada, e já modifiquei meu currículo várias vezes.",Vejo sobre a empresa e sempre o que eles pedem na divulgação da vaga. ,Não,,,,,,,,,,sim
No Code / Low Code,Sim,,,,,,,,,,,Faculdade,Linkedin,menos de 5,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Curso Tecnico","Linkedin, Networking / Amigos, Zap / Telegram",entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Não,Não,"entre 2000,00 e 3000,00",sim
QA - Qualidade de Software,Sim,,,,,,,,,,,Faculdade,Bootcamp,menos de 5,Busquei ativamente um a vaga,CLT,Cansativo,Sim,Sim,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",...,Estudo meus projetos para apresentá-los ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,Faculdade,Indicação ,entre 5 e 10,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"entre 2000,00 e 3000,00",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",experiência,Estudo e testes,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00",Linkedin,Sim,"Sim, com feedback",,,Não,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Amigos / Networking",Não,Não,Falta de Experiência ,"Tenho estudado muito sobre a área de produtos, onde pretendo migrar, como não possuo experiência, tenho tentado garantir conhecimentos técnicos. Procuro conhecer as empresas, saber das missões,  valores e posicionamento no mercado",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)",PJ,"a partir de 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Passar primeira fase do processo seletivo,Pesquiso sobre a empresa/vaga,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",vagas de junior pedindo muito tempo de experiencia e muitos conhecimentos quase nivel pleno,"Assisto lives com dicas, anoto perguntas de recruiters, falo sozinha como se estivesse respondendo, me gravo e depois assisto, pratico para a fase técnica",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico","Muitos sites de vagas, cada 1 com 1 cadastro diferente as vezes cada empresa tem seu site próprio, seria bem melhor se tudo fosse pelo linkedin",Entrevistas de emprego teste na Kenzie Academy Brasil,Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord",Sim,"Sim, com feedback automatico",Achar vagas que se encaixem com a minha Experiencia.,"Estudo o ramo de atuação da empresa, reviso meu portifolio e repositorios, revejo alguns conceitos sobre a tecnologia da vaga para relembrar alguns detalhes que possa ter esquecido.",Não,,,,,,,,,,sim
Desenvolvimento Mobile,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,Estagio,Cansativo,Sim,Sim,"Abaixo dos 1000,00",sim
Desenvolvimento Mobile,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00",Linkedin,Sim,Não,Encontrar vagas compatíveis com o nível de JR também vagas que sejam remotas / híbridas,Treino em call com amigos,Não,,,,,,,,,,sim
